my gene	prokka annotation	article gene	article prokka annotation	eggnog annotation
CBNIABCL_01862	 hypothetical protein	LFTS_00804	 hypothetical protein	Protein of unknown function (DUF503)
CBNIABCL_01861	 Ribosome-binding factor A	LFTS_00805	 ribosome-binding factor A	One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA
CBNIABCL_01860	 tRNA pseudouridine synthase B	LFTS_00806	 tRNA pseudouridine55 synthase	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs
CBNIABCL_01859	 30S ribosomal protein S15	LFTS_00807	 SSU ribosomal protein S15P	Forms an intersubunit bridge (bridge B4) with the 23S rRNA of the 50S subunit in the ribosome
CBNIABCL_01858	 Polyribonucleotide nucleotidyltransferase	LFTS_00808	 polyribonucleotide nucleotidyltransferase	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction
CBNIABCL_01857	 hypothetical protein	LFTS_00809	 hypothetical protein	 Not found 
CBNIABCL_01856	 putative zinc protease	LFTS_00810	 putative Zn-dependent peptidase	Insulinase (Peptidase family M16)
CBNIABCL_01855	 Pyridoxine 5'-phosphate synthase	LFTS_00811	 pyridoxine 5-phosphate synthase	Catalyzes the complicated ring closure reaction between the two acyclic compounds 1-deoxy-D-xylulose-5-phosphate (DXP) and 3-amino-2-oxopropyl phosphate (1-amino-acetone-3-phosphate or AAP) to form pyridoxine 5'-phosphate (PNP) and inorganic phosphate
CBNIABCL_01854	 Holo-[acyl-carrier-protein] synthase	LFTS_00812	 holo-[acyl-carrier protein] synthase	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein
CBNIABCL_01853	 Bifunctional NAD(P)H-hydrate repair enzyme Nnr	LFTS_00813	 NAD(P)H-hydrate epimerase	Bifunctional enzyme that catalyzes the epimerization of the S- and R-forms of NAD(P)HX and the dehydration of the S-form of NAD(P)HX at the expense of ADP, which is converted to AMP. This allows the repair of both epimers of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration
CBNIABCL_01852	 hypothetical protein	LFTS_00814	 DNA polymerase	Uracil DNA glycosylase superfamily
CBNIABCL_01851	 hypothetical protein	LFTS_00815	 hypothetical protein	 Not found 
CBNIABCL_01850	 DNA mismatch repair protein MutS	LFTS_00816	 DNA mismatch repair protein MutS	that it carries out the mismatch recognition step. This protein has a weak ATPase activity
CBNIABCL_01849	 hypothetical protein	LFTS_00817	 hypothetical protein	 Not found 
CBNIABCL_01848	 hypothetical protein	LFTS_00818	 hypothetical protein	amine dehydrogenase activity
CBNIABCL_01847	 Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	LFTS_00819	 Enoyl-[acyl-carrier-protein] reductase [NADH]	Enoyl-(Acyl carrier protein) reductase
CBNIABCL_01846	 Cytochrome b6-f complex iron-sulfur subunit	LFTS_00820	 menaquinol-cytochrome c reductase iron-sulfur subunit	Rieske [2Fe-2S] domain
CBNIABCL_01845	 Cytochrome b6	LFTS_00821	 ubiquinol-cytochrome c reductase cytochrome b subunit	Cytochrome b/b6/petB
CBNIABCL_01844	 hypothetical protein	LFTS_00822	 Glutaredoxin	Thioredoxin domain
CBNIABCL_01843	 hypothetical protein	LFTS_00823	 hypothetical protein	 Not found 
CBNIABCL_01842	 2-iminobutanoate/2-iminopropanoate deaminase	LFTS_00824	 2-iminobutanoate/2-iminopropanoate deaminase	oxidation-reduction process
CBNIABCL_01841	 ATP-dependent DNA helicase RecG	LFTS_00825	 ATP-dependent DNA helicase RecG	Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)
CBNIABCL_01840	 hypothetical protein	LFTS_00826	 hypothetical protein	 Not found 
CBNIABCL_01839	 Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	LFTS_00827	 exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology
CBNIABCL_01838	 Lipopolysaccharide assembly protein B	LFTS_00828	 Tetratricopeptide repeat-containing protein	 Not found 
CBNIABCL_01837	 CCA-adding enzyme	LFTS_00829	 tRNA nucleotidyltransferase (CCA-adding enzyme)	Probable RNA and SrmB- binding site of polymerase A
CBNIABCL_01836	 hypothetical protein	LFTS_00830	 Thiol-disulfide isomerase or thioredoxin	cell redox homeostasis
CBNIABCL_01835	 Multidrug resistance protein MdtC	LFTS_00831	 hydrophobic/amphiphilic exporter-1, HAE1 family	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family
CBNIABCL_01834	 hypothetical protein	LFTS_00832	 myosin	 Not found 
CBNIABCL_01833	 Zinc uptake regulation protein	LFTS_00833	 Fur family transcriptional regulator, ferric uptake regulator	belongs to the Fur family
CBNIABCL_01832	 hypothetical protein	LFTS_00834	 hypothetical protein	 Not found 
CBNIABCL_01831	 5'-fluoro-5'-deoxy-adenosine synthase	LFTS_00835	 S-adenosyl-l-methionine hydroxide adenosyltransferase	S-adenosyl-l-methionine hydroxide adenosyltransferase
CBNIABCL_01830	 hypothetical protein	LFTS_00836	 Phospholipid methyltransferase	methyltransferase activity
CBNIABCL_01829	 30S ribosomal protein S1	LFTS_00837	 SSU ribosomal protein S1P	thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence
CBNIABCL_01828	 Protease 4	LFTS_00838	 protease-4	Peptidase family S49
CBNIABCL_01827	 Signal recognition particle protein	LFTS_00840	 signal recognition particle subunit FFH/SRP54 (srp54)	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds to the hydrophobic signal sequence of the ribosome-nascent chain (RNC) as it emerges from the ribosomes. The SRP-RNC complex is then targeted to the cytoplasmic membrane where it interacts with the SRP receptor FtsY
CBNIABCL_01826	 30S ribosomal protein S16	LFTS_00841	 SSU ribosomal protein S16P	Belongs to the bacterial ribosomal protein bS16 family
CBNIABCL_01825	 hypothetical protein	LFTS_00842	 hypothetical protein	Belongs to the UPF0109 family
CBNIABCL_01824	 tRNA (guanine-N(1)-)-methyltransferase	LFTS_00843	 tRNA (guanine37-N1)-methyltransferase	Belongs to the RNA methyltransferase TrmD family
CBNIABCL_01823	 50S ribosomal protein L19	LFTS_00844	 large subunit ribosomal protein L19	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site
CBNIABCL_01822	 Ribonuclease HII	LFTS_00845	 RNase HII	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids
CBNIABCL_01821	 hypothetical protein	LFTS_00846	 Cell division protein FtsX	cell division
CBNIABCL_01820	 Murein hydrolase activator EnvC	LFTS_00847	 Septal ring factor EnvC, activator of murein hydrolases AmiA and AmiB	Peptidase family M23
CBNIABCL_01819	 putative CtpA-like serine protease	LFTS_00848	 carboxyl-terminal processing protease	tail specific protease
CBNIABCL_01818	 10 kDa chaperonin 1	LFTS_00849	 chaperonin GroES	Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter
CBNIABCL_01817	 60 kDa chaperonin	LFTS_00850	 chaperonin GroEL	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions
CBNIABCL_01816	 Thioredoxin	LFTS_00851	 thioredoxin	Thioredoxin-like domain
CBNIABCL_01815	 DNA repair protein RecN	LFTS_00852	 DNA repair protein RecN (Recombination protein N)	May be involved in recombinational repair of damaged DNA
CBNIABCL_01814	 hypothetical protein	LFTS_00853	 hypothetical protein	Uncharacterised protein family (UPF0182)
CBNIABCL_01813	 Arginine decarboxylase	LFTS_00854	 arginine decarboxylase	Orn Lys Arg decarboxylase major
CBNIABCL_01812	 Polyamine aminopropyltransferase	LFTS_00855	 spermidine synthase	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
CBNIABCL_01810	 S-adenosylmethionine decarboxylase proenzyme	LFTS_00856	 S-adenosylmethionine decarboxylase	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine
CBNIABCL_01809	 putative signaling protein	LFTS_00857	 diguanylate cyclase (GGDEF) domain-containing protein	Putative diguanylate phosphodiesterase
CBNIABCL_01808	 hypothetical protein	LFTS_00858	 hypothetical protein	 Not found 
CBNIABCL_01807	 hypothetical protein	LFTS_00859	 hypothetical protein	 Not found 
CBNIABCL_01806	 Phosphatidylglycerophosphatase A	LFTS_00860	 phosphatidylglycerophosphatase A	Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG)
CBNIABCL_01805	 Protein RecA	LFTS_00861	 recombination protein RecA	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
CBNIABCL_01804	 Alanine--tRNA ligase	LFTS_00862	 alanyl-tRNA synthetase	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain
CBNIABCL_01803	 hypothetical protein	LFTS_00863	 hypothetical protein	 Not found 
CBNIABCL_01802	 Putative pre-16S rRNA nuclease	LFTS_00864	 putative holliday junction resolvase	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA
CBNIABCL_01801	 Endolytic murein transglycosylase	LFTS_00865	 hypothetical protein	Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation
CBNIABCL_01800	 Valine--tRNA ligase	LFTS_00866	 valyl-tRNA synthetase	amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner
CBNIABCL_01799	 putative nicotinate-nucleotide pyrophosphorylase [carboxylating]	LFTS_00867	 nicotinate-nucleotide pyrophosphorylase [carboxylating]	Quinolinate phosphoribosyl transferase, C-terminal domain
CBNIABCL_01797	 Bifunctional ligase/repressor BirA	LFTS_00868	 BirA family transcriptional regulator, biotin operon repressor / biotin-[acetyl-CoA-carboxylase] ligase	Biotin/lipoate A/B protein ligase family
CBNIABCL_01796	 Type III pantothenate kinase	LFTS_00869	 type III pantothenate kinase	Catalyzes the phosphorylation of pantothenate (Pan), the first step in CoA biosynthesis
CBNIABCL_01795	 hypothetical protein	LFTS_00870	 hypothetical protein	 Not found 
CBNIABCL_01794	 putative signaling protein	LFTS_00871	 PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	transcription factor binding
CBNIABCL_01792	 Multidrug export protein EmrA	LFTS_00873	 membrane fusion protein, multidrug efflux system	PFAM secretion protein HlyD family protein
CBNIABCL_01791	 Outer membrane protein TolC	LFTS_00874	 outer membrane protein	efflux transmembrane transporter activity
CBNIABCL_01790	 Malate dehydrogenase	LFTS_00875	 malate dehydrogenase (NAD)	Catalyzes the reversible oxidation of malate to oxaloacetate
CBNIABCL_01789	 Lipopolysaccharide export system protein LptC	LFTS_00876	 LPS export ABC transporter protein LptC	 Not found 
CBNIABCL_01788	 Lipopolysaccharide export system protein LptA	LFTS_00877	 lipopolysaccharide export system protein LptA	lipopolysaccharide binding
CBNIABCL_01787	 Lipopolysaccharide export system ATP-binding protein LptB	LFTS_00878	 lipopolysaccharide export system ATP-binding protein	ABC transporter
CBNIABCL_01786	 RNA polymerase sigma-54 factor	LFTS_00879	 RNA polymerase, sigma 54 subunit, RpoN/SigL	Sigma-54 factor, Activator interacting domain (AID)
CBNIABCL_01785	 Ribosome hibernation promotion factor	LFTS_00880	 putative sigma-54 modulation protein	Required for dimerization of active 70S ribosomes into 100S ribosomes in stationary phase
CBNIABCL_01784	 Nucleotide-binding protein	LFTS_00881	 hypothetical protein	Displays ATPase and GTPase activities
CBNIABCL_01783	 hypothetical protein	LFTS_00882	 putative arylsulfatase	 Not found 
CBNIABCL_01782	 Chorismate synthase	LFTS_00883	 chorismate synthase	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system
CBNIABCL_01781	 Shikimate kinase 2	LFTS_00884	 shikimate kinase	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
CBNIABCL_01780	 3-dehydroquinate synthase	LFTS_00886	 3-dehydroquinate synthase	Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
CBNIABCL_01779	 Phosphoenolpyruvate-dependent phosphotransferase system	LFTS_00887	 GAF domain-containing protein	ANTAR
CBNIABCL_01778	 hypothetical protein	LFTS_00888	 hypothetical protein	 Not found 
CBNIABCL_01777	 hypothetical protein	LFTS_00889	 hypothetical protein	Participates in the translocation of lipoproteins from the inner membrane to the outer membrane. Only forms a complex with a lipoprotein if the residue after the N-terminal Cys is not an aspartate (The Asp acts as a targeting signal to indicate that the lipoprotein should stay in the inner membrane)
CBNIABCL_01776	 hypothetical protein	LFTS_00890	 putative N-acetyltransferase YhbS	Acetyltransferase (GNAT) domain
CBNIABCL_01775	 NADPH-dependent 7-cyano-7-deazaguanine reductase	LFTS_00891	 7-cyano-7-deazaguanine reductase	Catalyzes the NADPH-dependent reduction of 7-cyano-7- deazaguanine (preQ0) to 7-aminomethyl-7-deazaguanine (preQ1)
CBNIABCL_01774	 hypothetical protein	LFTS_00892	 DDE superfamily endonuclease	DDE superfamily endonuclease
CBNIABCL_01771	 Biopolymer transport protein ExbB	LFTS_00895	 Cell division and transport-associated protein TolQ (TC 2.C.1.2.1)	MotA/TolQ/ExbB proton channel family
CBNIABCL_01770	 Biopolymer transport protein ExbD	LFTS_00896	 biopolymer transport protein TolR	Biopolymer transport protein ExbD/TolR
CBNIABCL_01769	 Protein TolB	LFTS_00898	 TolB protein	WD40-like Beta Propeller Repeat
CBNIABCL_01768	 Cell division coordinator CpoB	LFTS_00899	 tol-pal system protein YbgF	Outer membrane lipoprotein
CBNIABCL_01767	 DNA mismatch repair protein MutL	LFTS_00900	 DNA mismatch repair protein MutL	This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex
CBNIABCL_01766	 tRNA dimethylallyltransferase	LFTS_00901	 tRNA dimethylallyltransferase	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37 in tRNAs that read codons beginning with uridine, leading to the formation of N6-(dimethylallyl)adenosine (i(6)A)
CBNIABCL_01765	 S-methyl-5'-thioadenosine phosphorylase	LFTS_00902	 methylthioadenosine phosphorylase	Catalyzes the reversible phosphorylation of S-methyl-5'- thioadenosine (MTA) to adenine and 5-methylthioribose-1-phosphate. Involved in the breakdown of MTA, a major by-product of polyamine biosynthesis. Responsible for the first step in the methionine salvage pathway after MTA has been generated from S- adenosylmethionine. Has broad substrate specificity with 6- aminopurine nucleosides as preferred substrates
